[microsoft__dit-base | Fold 1 | Frozen 1/15] MAE 9.308
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 22/30] MAE 5.515
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 23/30] MAE 5.478
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 24/30] MAE 5.503
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 25/30] MAE 5.554
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 26/30] MAE 5.670
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 27/30] MAE 5.311
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 28/30] MAE 5.388
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 29/30] MAE 5.299
[microsoft__dit-base-finetuned-rvlcdip | Fold 5 | FT 30/30] MAE 5.917
[microsoft__dit-base-finetuned-rvlcdip] Evaluating best checkpoint on fold 5 …

══════ CV SUMMARY ══════
MAE       : 5.854 ± 0.838
RMSE      : 9.956 ± 1.422
R2        : 0.315 ± 0.116
MAPE      : 22.296 ± 3.935
Within2   : 39.007 ± 4.852
Within5   : 65.001 ± 4.638
Within10  : 83.935 ± 3.388
MaxErr    : 52.672 ± 13.696
MedianErr : 2.900 ± 0.550
MinErr    : 0.019 ± 0.022

Mounted at /content/drive
/usr/local/lib/python3.12/dist-packages/huggingface_hub/utils/_auth.py:94: UserWarning: 
The secret `HF_TOKEN` does not exist in your Colab secrets.
To authenticate with the Hugging Face Hub, create a token in your settings tab (https://huggingface.co/settings/tokens), set it as secret in your Google Colab and restart your session.
You will be able to reuse this secret in all of your notebooks.
Please note that authentication is recommended but still optional to access public models or datasets.
  warnings.warn(
Fetching 1 files: 100%
 1/1 [00:00<00:00,  5.46it/s]
preprocessor_config.json: 100%
 302/302 [00:00<00:00, 34.4kB/s]
/usr/local/lib/python3.12/dist-packages/transformers/image_processing_base.py:410: UserWarning: The following named arguments are not valid for `BeitImageProcessor.__init__` and were ignored: 'feature_extractor_type', 'reduce_labels'
  image_processor = cls(**image_processor_dict)

===== microsoft__dit-large-finetuned-rvlcdip | Fold 1/5 =====
config.json: 
 1.79k/? [00:00<00:00, 218kB/s]
pytorch_model.bin: 100%
 1.21G/1.21G [00:06<00:00, 332MB/s]
model.safetensors: 100%
 1.21G/1.21G [00:06<00:00, 337MB/s]
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 1/15] MAE 38.115
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 2/15] MAE 18.483
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 3/15] MAE 9.611
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 4/15] MAE 19.120
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 5/15] MAE 13.740
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 6/15] MAE 12.401
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 7/15] MAE 13.892
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 8/15] MAE 13.804
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 9/15] MAE 13.559
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 10/15] MAE 13.128
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 11/15] MAE 12.615
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 12/15] MAE 13.497
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 13/15] MAE 13.214
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 14/15] MAE 13.478
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | Frozen 15/15] MAE 11.702
[microsoft__dit-large-finetuned-rvlcdip] Unfreezing backbone …
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 1/30] MAE 11.335
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 2/30] MAE 14.076
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 3/30] MAE 13.516
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 4/30] MAE 12.739
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 5/30] MAE 13.492
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 6/30] MAE 12.414
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 7/30] MAE 11.067
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 8/30] MAE 12.123
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 9/30] MAE 10.740
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 10/30] MAE 9.293
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 11/30] MAE 11.029
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 12/30] MAE 9.303
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 13/30] MAE 8.790
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 14/30] MAE 11.467
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 15/30] MAE 9.197
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 16/30] MAE 7.521
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 17/30] MAE 8.131
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 18/30] MAE 8.017
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 19/30] MAE 8.125
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 20/30] MAE 9.659
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 21/30] MAE 7.373
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 22/30] MAE 10.052
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 23/30] MAE 8.521
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 24/30] MAE 8.091
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 25/30] MAE 9.323
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 26/30] MAE 7.510
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 27/30] MAE 8.373
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 28/30] MAE 8.131
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 29/30] MAE 8.582
[microsoft__dit-large-finetuned-rvlcdip | Fold 1 | FT 30/30] MAE 7.242
[microsoft__dit-large-finetuned-rvlcdip] Evaluating best checkpoint on fold 1 …

===== microsoft__dit-large-finetuned-rvlcdip | Fold 2/5 =====
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 1/15] MAE 133.478
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 2/15] MAE 111.873
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 3/15] MAE 90.474
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 4/15] MAE 69.307
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 5/15] MAE 48.111
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 6/15] MAE 26.817
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 7/15] MAE 7.894
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 8/15] MAE 13.346
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 9/15] MAE 13.802
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 10/15] MAE 10.687
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 11/15] MAE 9.722
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 12/15] MAE 10.407
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 13/15] MAE 11.248
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 14/15] MAE 10.865
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | Frozen 15/15] MAE 10.981
[microsoft__dit-large-finetuned-rvlcdip] Unfreezing backbone …
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 1/30] MAE 9.646
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 2/30] MAE 8.198
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 3/30] MAE 7.697
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 4/30] MAE 9.010
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 5/30] MAE 7.819
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 6/30] MAE 6.690
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 7/30] MAE 6.292
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 8/30] MAE 6.497
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 9/30] MAE 6.209
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 10/30] MAE 6.256
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 11/30] MAE 6.319
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 12/30] MAE 5.877
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 13/30] MAE 5.613
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 14/30] MAE 5.549
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 15/30] MAE 5.582
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 16/30] MAE 7.652
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 17/30] MAE 6.064
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 18/30] MAE 5.659
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 19/30] MAE 6.107
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 20/30] MAE 6.484
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 21/30] MAE 6.032
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 22/30] MAE 5.777
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 23/30] MAE 6.910
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 24/30] MAE 6.175
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 25/30] MAE 7.082
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 26/30] MAE 6.343
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 27/30] MAE 6.552
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 28/30] MAE 7.493
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 29/30] MAE 5.406
[microsoft__dit-large-finetuned-rvlcdip | Fold 2 | FT 30/30] MAE 5.994
[microsoft__dit-large-finetuned-rvlcdip] Evaluating best checkpoint on fold 2 …

===== microsoft__dit-large-finetuned-rvlcdip | Fold 3/5 =====
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 1/15] MAE 57.696
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 2/15] MAE 36.386
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 3/15] MAE 18.739
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 4/15] MAE 9.627
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 5/15] MAE 14.428
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 6/15] MAE 11.554
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 7/15] MAE 10.083
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 8/15] MAE 10.859
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 9/15] MAE 10.762
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 10/15] MAE 10.794
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 11/15] MAE 10.954
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 12/15] MAE 11.102
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 13/15] MAE 10.455
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 14/15] MAE 10.490
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | Frozen 15/15] MAE 11.131
[microsoft__dit-large-finetuned-rvlcdip] Unfreezing backbone …
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 1/30] MAE 11.046
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 2/30] MAE 12.932
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 3/30] MAE 12.951
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 4/30] MAE 11.651
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 5/30] MAE 10.313
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 6/30] MAE 9.061
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 7/30] MAE 9.778
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 8/30] MAE 10.823
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 9/30] MAE 9.001
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 10/30] MAE 9.251
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 11/30] MAE 9.308
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 12/30] MAE 8.542
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 13/30] MAE 8.971
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 14/30] MAE 7.968
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 15/30] MAE 7.741
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 16/30] MAE 7.687
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 17/30] MAE 9.072
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 18/30] MAE 9.212
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 19/30] MAE 8.339
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 20/30] MAE 8.185
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 21/30] MAE 8.268
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 22/30] MAE 9.070
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 23/30] MAE 7.689
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 24/30] MAE 7.899
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 25/30] MAE 8.519
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 26/30] MAE 8.727
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 27/30] MAE 8.221
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 28/30] MAE 8.160
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 29/30] MAE 7.598
[microsoft__dit-large-finetuned-rvlcdip | Fold 3 | FT 30/30] MAE 8.317
[microsoft__dit-large-finetuned-rvlcdip] Evaluating best checkpoint on fold 3 …

===== microsoft__dit-large-finetuned-rvlcdip | Fold 4/5 =====
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 1/15] MAE 73.466
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 2/15] MAE 50.274
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 3/15] MAE 29.242
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 4/15] MAE 11.848
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 5/15] MAE 9.573
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 6/15] MAE 12.683
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 7/15] MAE 9.552
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 8/15] MAE 10.146
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 9/15] MAE 9.254
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 10/15] MAE 9.746
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 11/15] MAE 10.261
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 12/15] MAE 9.808
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 13/15] MAE 9.194
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 14/15] MAE 9.300
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | Frozen 15/15] MAE 9.103
[microsoft__dit-large-finetuned-rvlcdip] Unfreezing backbone …
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 1/30] MAE 8.856
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 2/30] MAE 8.174
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 3/30] MAE 7.936
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 4/30] MAE 8.307
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 5/30] MAE 10.534
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 6/30] MAE 10.126
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 7/30] MAE 9.589
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 8/30] MAE 7.735
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 9/30] MAE 8.473
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 10/30] MAE 6.084
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 11/30] MAE 7.461
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 12/30] MAE 6.216
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 13/30] MAE 4.968
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 14/30] MAE 5.698
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 15/30] MAE 5.368
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 16/30] MAE 5.856
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 17/30] MAE 5.364
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 18/30] MAE 5.683
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 19/30] MAE 5.448
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 20/30] MAE 5.882
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 21/30] MAE 9.235
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 22/30] MAE 7.111
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 23/30] MAE 6.130
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 24/30] MAE 5.791
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 25/30] MAE 7.346
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 26/30] MAE 5.125
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 27/30] MAE 5.219
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 28/30] MAE 5.302
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 29/30] MAE 5.191
[microsoft__dit-large-finetuned-rvlcdip | Fold 4 | FT 30/30] MAE 5.125
[microsoft__dit-large-finetuned-rvlcdip] Evaluating best checkpoint on fold 4 …

===== microsoft__dit-large-finetuned-rvlcdip | Fold 5/5 =====
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 1/15] MAE 76.118
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 2/15] MAE 52.515
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 3/15] MAE 29.454
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 4/15] MAE 9.094
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 5/15] MAE 10.047
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 6/15] MAE 9.031
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 7/15] MAE 7.618
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 8/15] MAE 7.389
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 9/15] MAE 7.836
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 10/15] MAE 7.459
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 11/15] MAE 7.129
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 12/15] MAE 7.600
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 13/15] MAE 7.318
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 14/15] MAE 7.328
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | Frozen 15/15] MAE 7.180
[microsoft__dit-large-finetuned-rvlcdip] Unfreezing backbone …
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 1/30] MAE 6.512
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 2/30] MAE 6.169
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 3/30] MAE 6.072
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 4/30] MAE 5.782
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 5/30] MAE 5.985
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 6/30] MAE 5.986
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 7/30] MAE 5.708
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 8/30] MAE 5.583
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 9/30] MAE 5.745
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 10/30] MAE 5.641
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 11/30] MAE 5.813
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 12/30] MAE 6.180
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 13/30] MAE 6.246
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 14/30] MAE 5.483
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 15/30] MAE 5.501
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 16/30] MAE 5.560
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 17/30] MAE 5.588
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 18/30] MAE 5.398
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 19/30] MAE 5.453
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 20/30] MAE 5.521
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 21/30] MAE 5.525
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 22/30] MAE 5.496
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 23/30] MAE 5.429
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 24/30] MAE 5.981
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 25/30] MAE 5.238
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 26/30] MAE 5.316
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 27/30] MAE 5.222
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 28/30] MAE 5.328
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 29/30] MAE 5.825
[microsoft__dit-large-finetuned-rvlcdip | Fold 5 | FT 30/30] MAE 6.146
[microsoft__dit-large-finetuned-rvlcdip] Evaluating best checkpoint on fold 5 …

══════ CV SUMMARY ══════
MAE       : 6.087 ± 1.103
RMSE      : 10.379 ± 1.649
R2        : 0.256 ± 0.146
MAPE      : 22.526 ± 4.190
Within2   : 38.415 ± 7.282
Within5   : 64.030 ± 7.516
Within10  : 83.781 ± 5.085
MaxErr    : 53.907 ± 12.690
MedianErr : 3.149 ± 0.876
MinErr    : 0.023 ± 0.012
